title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,has_win_award
My Heart Belongs to Me,Barbra Streisand,adult standards,1977,139,21,27,-16,18,30,201,74,3,44,False
Telegram Sam,T. Rex,album rock,1972,123,94,52,-4,9,44,226,2,12,40,False
Livin' On A Prayer,Bon Jovi,glam metal,1986,123,89,53,-4,29,80,249,8,3,83,False
Africa,TOTO,album rock,1982,93,37,67,-18,5,73,296,26,3,83,True
Another One Bites The Dust - Remastered 2011,Queen,glam rock,1980,110,53,93,-6,16,75,215,11,16,82,True
Break My Stride,Matthew Wilder,new wave pop,1983,110,59,92,-11,9,83,184,20,6,81,True
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,dance pop,1987,119,82,71,-9,9,87,291,21,5,80,True
Summer Of '69,Bryan Adams,album rock,1984,139,83,51,-6,7,77,216,2,4,80,True
You Give Love A Bad Name,Bon Jovi,glam metal,1986,123,96,54,-3,34,81,223,7,5,80,True
Everybody Wants To Rule The World,Tears For Fears,dance rock,1985,112,80,65,-12,10,54,251,35,5,80,True
I'm Still Standing,Elton John,glam rock,1983,177,90,50,-7,14,77,183,36,18,79,False
Last Christmas,Wham!,dance rock,2019,108,58,74,-9,18,94,265,19,3,78,False
Uptown Girl,Billy Joel,album rock,1983,129,94,70,-3,60,79,198,7,5,77,False
Radio Ga Ga - 2011 Mix,Queen,glam rock,1984,112,50,74,-8,19,66,348,18,4,76,False
Heaven,Bryan Adams,album rock,1984,140,59,38,-7,12,34,243,5,3,76,False
9 to 5,Dolly Parton,classic country pop,1980,105,78,55,-6,63,81,162,42,5,76,False
Eye of the Tiger,Survivor,album rock,1985,109,60,82,-9,9,55,246,13,3,76,False
Right Here Waiting,Richard Marx,mellow gold,1989,178,25,40,-14,10,13,264,80,3,75,False
Listen to Your Heart,Roxette,europop,1988,86,58,54,-5,11,34,328,11,3,75,False
Born in the U.S.A.,Bruce Springsteen,classic rock,1984,122,95,40,-6,10,58,279,0,6,75,False
Pour Some Sugar On Me - Remastered 2017,Def Leppard,album rock,1987,85,95,27,-5,28,57,267,0,10,74,False
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,mellow gold,2016,116,50,58,-7,13,11,206,20,3,74,False
Maniac,Michael Sembello,hi-nrg,1983,159,53,62,-12,4,84,245,9,7,73,False
Hungry Eyes,Eric Carmen,adult standards,1997,110,55,71,-9,12,55,251,1,3,73,False
Panama - 2015 Remaster,Van Halen,album rock,1984,141,98,53,-5,7,46,210,0,11,73,False
Forever Young,Alphaville,dance rock,1984,137,48,49,-9,24,33,227,42,3,73,False
I Love Rock 'N Roll,Joan Jett & The Blackhearts,glam punk,1981,94,72,54,-5,66,90,175,33,4,72,False
Sacrifice,Elton John,glam rock,1989,113,42,76,-13,4,49,304,2,3,72,False
Material Girl,Madonna,dance pop,2009,137,88,74,-3,10,98,240,33,3,72,False
The Winner Takes It All,ABBA,europop,1980,126,79,45,-7,9,52,295,57,4,72,False
Smalltown Boy,Bronski Beat,dance rock,1984,135,58,69,-11,12,94,302,29,3,71,False
The Best - Edit,Tina Turner,disco,1991,104,83,68,-6,21,82,250,1,3,71,False
(I Just) Died In Your Arms,Cutting Crew,album rock,1986,125,73,63,-11,6,51,280,2,4,71,False
Brothers In Arms,Dire Straits,album rock,1985,79,30,41,-14,18,14,424,53,3,71,False
Glory of Love,Peter Cetera,adult standards,1986,145,59,52,-8,31,31,258,8,3,71,False
Super Trouper,ABBA,europop,1980,118,63,76,-8,20,96,253,46,3,70,False
Flashdance...What a Feeling - Radio Edit,Irene Cara,dance rock,1983,122,65,57,-7,9,40,237,1,3,70,False
Every Time You Go Away - Radio Edit,Paul Young,album rock,1991,164,72,57,-9,22,84,267,19,4,70,False
Self Control,Laura Branigan,dance rock,1984,107,69,81,-12,16,78,246,22,3,70,False
Say You Say Me,Lionel Richie,adult standards,1986,128,41,64,-11,8,26,241,36,3,70,False
Heaven Is a Place on Earth,Belinda Carlisle,dance pop,2013,123,85,64,-8,5,79,247,2,3,70,False
I Want To Break Free - Remastered 2011,Queen,glam rock,1984,109,41,88,-11,12,78,199,8,4,70,False
Arthur's Theme (Best That You Can Do),Christopher Cross,adult standards,1981,137,52,53,-11,18,52,234,17,4,70,False
Carrie,Europe,album rock,1986,137,49,46,-7,36,14,272,11,3,70,False
We Are The World,U.S.A. For Africa,,1985,73,45,53,-15,7,29,427,19,4,69,False
Stuck On You,Lionel Richie,adult standards,1983,132,32,51,-16,9,25,192,62,3,69,False
Hurts So Good,John Mellencamp,album rock,1982,125,74,79,-5,11,97,219,4,4,69,False
How Am I Supposed to Live Without You,Michael Bolton,adult standards,1989,140,44,54,-12,11,23,256,19,3,69,False
Hysteria,Def Leppard,album rock,1987,107,85,66,-6,20,66,355,3,3,68,False
Nikita,Elton John,glam rock,1985,87,66,63,-9,7,75,343,12,3,68,False
Dancing With Myself,Billy Idol,album rock,1985,177,70,51,-11,30,91,360,2,8,68,False
I'll Be Over You,TOTO,album rock,1986,82,28,52,-18,26,41,230,6,3,68,False
Kids In America,Kim Wilde,dance pop,1981,160,78,56,-4,12,31,206,10,5,68,False
St. Elmos Fire (Man in Motion),John Parr,album rock,1985,111,60,61,-11,22,47,252,15,3,68,False
One More Night - 2016 Remaster,Phil Collins,mellow gold,1985,136,44,53,-9,10,34,289,79,3,68,False
Come On Eileen,Dexys Midnight Runners,bow pop,2009,107,87,41,-4,8,82,206,20,9,68,False
Where Do Broken Hearts Go,Whitney Houston,dance pop,1987,62,39,46,-12,7,25,278,63,3,67,False
Guilty (feat. Barry Gibb),Barbra Streisand,adult standards,1980,151,43,63,-16,11,95,264,23,4,67,False
Brother Louie,Modern Talking,eurodance,1986,109,84,78,-9,14,83,223,40,5,67,False
Running Up That Hill (A Deal With God),Kate Bush,art pop,1985,108,55,63,-13,6,20,299,72,6,67,False
End Of The Line,Traveling Wilburys,album rock,1988,167,84,58,-7,6,93,210,16,5,67,False
Every Breath You Take,The Police,album rock,2017,117,48,82,-9,8,72,252,56,3,67,False
"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker,album rock,2000,140,31,63,-12,7,24,233,61,3,67,False
Woman in Love,Barbra Streisand,adult standards,1980,170,28,47,-16,13,33,232,25,3,67,False
Cheri Cheri Lady,Modern Talking,eurodance,1985,114,62,68,-14,35,85,226,46,3,66,False
Higher Love - Single Version,Steve Winwood,album rock,2007,99,89,70,-7,50,92,252,6,4,66,False
That's What Friends Are For,Dionne Warwick,adult standards,1985,120,24,68,-16,7,17,256,51,3,66,False
Gloria,Laura Branigan,dance rock,1995,131,87,78,-4,15,88,295,14,3,66,False
Slave To Love,Bryan Ferry,album rock,1985,148,82,66,-6,5,79,266,18,3,66,False
Now And Forever,Richard Marx,mellow gold,1994,78,26,44,-11,11,17,215,66,3,65,False
Big in Japan,Alphaville,dance rock,1984,98,41,75,-15,34,24,286,7,4,65,False
Only You,Yazoo,dance rock,1982,106,31,75,-17,8,85,194,33,4,65,False
Valerie,Steve Winwood,album rock,1982,116,53,72,-11,8,73,247,57,3,65,False
Blue Monday '88,New Order,alternative rock,1994,130,89,68,-8,6,95,245,0,4,65,False
Gold,Spandau Ballet,dance rock,2000,143,74,71,-8,10,64,231,26,4,65,False
Nothing's Gonna Change My Love For You,Glenn Medeiros,soft rock,1986,142,43,45,-13,6,39,232,57,4,64,False
Sledgehammer,Peter Gabriel,album rock,1986,96,69,66,-5,4,42,314,2,3,64,False
Rhythm Of The Night,DeBarge,disco,1985,115,76,71,-12,8,96,229,8,5,64,False
Jessie's Girl,Rick Springfield,album rock,1981,132,59,72,-14,10,85,194,33,5,64,False
It's Raining Men,The Weather Girls,disco,1996,136,93,68,-6,70,61,211,32,12,64,False
Sunshine Reggae,Laid Back,classic danish pop,2008,168,79,70,-6,8,93,258,10,4,64,False
Wonderful Life,Black,dance rock,1987,106,52,72,-12,21,82,288,71,3,64,False
The Riddle,Nik Kershaw,dance rock,1984,102,66,58,-8,14,90,235,12,3,63,False
Papa Don't Preach,Madonna,dance pop,1986,122,91,81,-9,2,97,345,31,4,63,False
Didn't We Almost Have It All,Whitney Houston,dance pop,1987,131,49,54,-10,14,34,305,42,3,63,False
All Right,Christopher Cross,adult standards,1983,133,65,71,-5,23,50,254,17,4,63,False
Biggest Part of Me,Ambrosia,adult standards,1980,153,72,50,-8,35,88,324,24,5,63,False
Save a Prayer - 2009 Remaster,Duran Duran,dance rock,1982,114,71,57,-9,16,67,333,35,3,62,False
Baby Come To Me,Patti Austin,adult standards,1981,90,50,63,-12,14,70,215,55,8,62,False
Fame - Rerecorded,Irene Cara,dance rock,2018,131,80,71,-7,8,94,319,7,3,62,False
Hard Habit to Break - 2006 Remaster,Chicago,adult standards,1984,81,61,58,-6,17,40,284,45,3,61,False
Rock You Like a Hurricane,Scorpions,album rock,2017,124,83,58,-6,32,67,254,0,4,61,False
When the Children Cry,White Lion,album rock,1987,130,24,49,-14,7,38,259,67,3,61,False
Is This Love - 2017 Remaster,Whitesnake,album rock,1987,180,79,33,-7,12,53,285,11,4,60,False
I Knew You Were Waiting (For Me),George Michael,new wave pop,1986,108,68,73,-11,31,68,242,27,4,60,False
You Keep Me Hangin On,Kim Wilde,dance pop,1986,123,68,69,-12,14,71,255,8,3,60,False
Dancing with Tears in My Eyes,Ultravox,art rock,1984,144,91,59,-8,60,93,244,15,4,59,False
In The Army Now,Status Quo,album rock,2002,105,73,68,-8,14,94,281,11,2,59,False
Here I Go Again - 2017 Remaster,Whitesnake,album rock,1987,90,85,38,-6,9,27,276,15,4,58,False
Holiday,Madonna,dance pop,1983,118,70,81,-9,5,73,232,3,5,58,False
I Think We're Alone Now,Tiffany,new wave pop,2008,130,89,65,-5,9,70,227,0,4,58,False
"Crockett's Theme - From ""Miami Vice II"" Soundtrack",Jan Hammer,jazz fusion,1991,191,39,41,-17,10,40,215,42,3,58,False
Cold as Ice - 2008 Remaster,Foreigner,album rock,2008,131,71,55,-5,14,51,200,6,3,57,False
Zulu Nation Throw Down,Afrika Bambaataa,bronx hip hop,2015,108,95,85,-4,10,91,433,76,19,50,False
It's Only Love - 2008 Remaster,Simply Red,british soul,2008,92,88,67,-5,4,75,299,51,4,50,False
Lucky Star,Madonna,dance pop,1983,117,81,80,-5,22,93,338,20,4,46,False
Romeo - 2014 Remaster,Donna Summer,dance pop,1996,141,85,85,-8,11,96,199,3,4,43,False
No Scrubs,TLC,atl hip hop,1999,93,68,74,-4,7,59,214,3,10,79,False
I Want It That Way,Backstreet Boys,boy band,2001,99,70,69,-6,16,48,214,22,3,76,False
It Wasn't Me,Shaggy,dance pop,2000,95,61,85,-5,31,65,228,6,7,76,False
"Because You Loved Me (Theme from ""Up Close and Personal"")",C̩line Dion,canadian pop,1996,120,47,61,-10,10,18,274,31,3,74,False
Big Poppa - 2005 Remaster,The Notorious B.I.G.,east coast hip hop,1994,84,58,78,-7,14,76,253,43,27,74,False
I Got 5 On It,Luniz,g funk,1995,174,71,60,-8,13,58,254,21,36,73,False
Boom Boom Boom Boom!!,Vengaboys,bubblegum dance,2000,138,89,80,-7,3,97,202,1,4,73,False
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,boy band,1997,108,85,73,-4,27,61,225,4,4,73,False
Bed Of Roses,Bon Jovi,glam metal,1992,165,60,31,-6,21,16,394,10,3,73,False
Don't Look Back in Anger - Remastered,Oasis,britpop,1995,163,94,33,-3,15,33,290,7,6,73,False
Always Be My Baby,Mariah Carey,dance pop,1995,79,53,65,-8,25,49,258,46,4,73,False
Angels,Robbie Williams,dance pop,1997,150,59,43,-6,10,24,265,16,3,73,False
Return of the Mack,Mark Morrison,british soul,1996,95,83,72,-5,16,61,213,1,11,72,False
Pony,Ginuwine,dance pop,1999,142,61,75,-9,12,97,252,0,9,72,False
Freed From Desire,Gala,eurodance,2007,129,86,70,-4,10,64,213,59,5,71,False
Better Off Alone,Alice DJ,europop,2000,137,82,67,-9,29,76,218,0,6,71,False
Hero,Mariah Carey,dance pop,1993,120,38,50,-9,12,18,258,74,3,71,False
End Of The Road,Boyz II Men,boy band,1991,150,43,64,-9,6,53,351,7,2,71,False
I'll Be Missing You (feat. 112),Diddy,dance pop,2004,110,48,86,-9,59,93,302,5,6,71,False
Forgot About Dre,Dr. Dre,g funk,1999,134,74,92,-1,16,62,222,8,8,71,False
Fantasy,Mariah Carey,dance pop,1995,102,73,67,-8,12,80,243,14,4,70,False
Sandstorm,Darude,eurodance,2000,136,97,53,-8,8,59,225,14,5,70,False
Who Am I (What's My Name)?,Snoop Dogg,g funk,1993,97,83,69,-4,52,69,246,0,5,70,False
Mr. Vain - Original Radio Edit,Culture Beat,bubblegum dance,1993,133,100,70,-8,12,39,257,7,4,69,False
Spending My Time,Roxette,europop,1991,171,57,42,-5,13,22,276,24,3,69,False
Let's Get Loud,Jennifer Lopez,dance pop,1999,131,94,82,-5,35,91,239,14,6,69,False
The Rhythm of the Night,Corona,bubblegum dance,1994,128,81,69,-12,10,80,264,0,3,69,False
The Power of Love,C̩line Dion,canadian pop,1993,140,52,55,-9,24,25,342,36,3,68,False
Narcotic - Radio Edit,Liquido,german alternative rock,1998,102,61,62,-7,9,45,236,0,2,68,False
Miami,Will Smith,hip hop,1997,108,53,88,-6,4,89,198,3,15,68,False
Hypnotize - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,2007,94,69,90,-4,29,63,230,18,28,68,False
3AM,Matchbox Twenty,neo mellow,1996,108,67,52,-9,12,54,226,1,3,68,False
High,Lighthouse Family,europop,1997,102,63,66,-9,13,59,308,11,3,68,False
L'Amour Toujours,Gigi D'Agostino,eurodance,2011,139,73,62,-8,36,81,239,3,3,67,False
"Rhythm Is A Dancer - 7"" Edit",SNAP!,diva house,1992,124,75,79,-11,14,71,226,27,4,67,False
Say My Name,Destiny's Child,dance pop,1999,67,68,52,-4,13,75,271,27,16,67,False
Heal the World,Michael Jackson,pop,1991,81,49,53,-8,10,10,384,54,5,67,False
The Boy Is Mine,Brandy,dance pop,1998,93,71,70,-7,32,76,295,54,4,66,False
Weak,SWV,dance pop,1992,128,53,69,-11,7,57,292,11,4,66,False
Walking in Memphis,Cher,dance pop,1995,129,68,70,-7,17,53,235,59,3,66,False
Angel of Mine - Radio Mix,Monica,dance pop,1998,90,56,59,-7,22,21,250,0,2,66,False
Picture Of You,Boyzone,boy band,1997,117,92,76,-6,37,88,206,10,4,65,False
"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",C̩line Dion,canadian pop,1992,77,40,46,-10,13,12,249,64,3,65,False
Run To You,Bryan Adams,album rock,1984,127,81,56,-6,29,64,233,1,3,65,False
No Matter What,Boyzone,boy band,1998,93,42,70,-9,14,53,274,19,2,65,False
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,bubblegum dance,1998,128,97,82,-11,39,77,284,26,6,64,False
Dreams,Gabrielle,british soul,1993,99,47,75,-14,22,57,223,17,4,64,False
Fading Like a Flower (Every Time You Leave),Roxette,europop,1991,105,67,61,-6,22,32,231,20,3,64,False
It's Not Right But It's Okay,Whitney Houston,dance pop,1998,128,80,81,-7,7,53,292,16,10,64,False
Stay Another Day,East 17,boy band,1994,128,49,52,-8,19,44,267,58,3,63,False
A Whole New World (Aladdin's Theme),Peabo Bryson,adult standards,1993,108,32,52,-10,14,13,243,63,3,63,False
Encore Une Fois - Future Breeze Edit,Sash!,bubblegum dance,1997,133,93,66,-7,19,84,221,1,4,62,False
Incomplete,Sisqo,dance pop,1999,119,44,75,-8,14,27,274,28,8,62,False
Sweet Dreams,La Bouche,bubblegum dance,2007,134,96,66,-6,9,83,205,8,5,62,False
Juicy - 2007 Remaster,The Notorious B.I.G.,east coast hip hop,2007,96,82,87,-5,15,79,301,48,26,62,False
Mysterious Girl - Radio Edit,Peter Andre,europop,2004,172,82,66,-6,30,86,217,14,21,62,False
It's Gonna Be Me,*NSYNC,boy band,2000,165,87,64,-5,6,88,191,5,8,62,False
I Have Nothing - Film Version,Whitney Houston,dance pop,2017,153,45,49,-9,9,17,296,76,3,61,False
I Promised Myself,Nick Kamen,,1990,128,80,58,-12,3,69,241,0,3,61,False
You,Ten Sharp,,1991,174,90,41,-8,19,67,273,43,3,61,False
Relight My Fire (feat. Lulu),Take That,boy band,1993,123,94,65,-7,10,93,252,4,5,61,False
Get A Way,Maxx,bubblegum dance,1994,133,86,85,-10,5,60,227,3,4,60,False
More And More - Single Version,Captain Hollywood Project,bubblegum dance,1993,126,85,66,-12,9,71,254,23,3,60,False
Free - Mood II Swing Radio Edit,Ultra Nat̩,deep house,1997,125,92,76,-6,4,74,233,0,4,60,False
"Circle of Life - From ""The Lion King""/Soundtrack Version",Elton John,glam rock,1994,161,39,30,-15,11,14,292,26,3,59,False
Please Don't Go,Double You,eurodance,1992,120,84,71,-12,3,49,200,6,4,59,False
Piu bella cosa,Eros Ramazzotti,italian pop,2014,110,79,67,-5,11,62,265,8,3,58,False
When the Heartache Is Over,Tina Turner,disco,1999,115,77,69,-6,7,43,224,1,3,58,False
Bailando,Paradisio,bubblegum dance,1997,133,94,65,-9,12,84,229,8,4,58,False
Let There Be Love - 2002 Digital Remaster,Simple Minds,art rock,1991,88,88,49,-6,13,60,309,8,4,57,False
I Will Always Love You - Film Version,Whitney Houston,dance pop,2017,133,28,34,-10,10,12,275,61,4,57,False
I'll Be There,Mariah Carey,dance pop,1998,82,51,41,-10,93,30,264,70,3,56,False
Don't Stop,ATB,german dance,1999,134,94,71,-5,32,57,221,15,4,56,False
Das Boot,U96,bubble trance,1992,123,88,64,-8,25,33,314,1,7,56,False
Hold On My Heart - 2007 Digital Remaster,Genesis,album rock,1991,172,36,46,-13,7,27,278,61,3,56,False
Real Real Gone,Van Morrison,classic rock,1990,142,85,70,-7,19,95,221,38,3,56,False
King Of My Castle - Roy Malone's King Mix,Wamdue Project,disco house,2009,125,54,87,-9,6,76,299,4,8,55,False
Be With You,Enrique Iglesias,dance pop,1999,122,87,68,-5,5,54,219,4,3,55,False
Ain't That Just the Way,Lutricia McNeal,,1996,174,65,74,-9,19,77,215,6,22,55,False
Have You Ever - Radio Edit,Brandy,dance pop,2005,134,48,68,-7,30,23,215,60,4,54,False
Gangsta's Paradise,Coolio,g funk,1995,80,63,64,-6,40,42,242,4,5,54,False
Show Me Love,Robin S,disco house,2017,120,72,82,-6,8,56,254,1,13,53,False
When I Look Into Your Eyes,Firehouse,album rock,2010,147,61,39,-8,16,25,240,0,3,53,False
Insomnia - Radio Edit,Faithless,big beat,2010,127,92,71,-9,37,53,216,6,4,50,False
If You Ever,East 17,boy band,1996,140,68,58,-9,31,57,255,18,3,48,False
Pump Up The Jam,Technotronic,eurodance,2019,125,84,89,-9,5,72,320,1,7,46,False
Doin' It,LL Cool J,east coast hip hop,1996,95,53,81,-12,12,62,294,34,19,46,False
Please Forgive Me,Bryan Adams,album rock,2005,67,46,53,-7,10,15,356,50,3,43,False
In the End,Linkin Park,alternative metal,2000,105,86,56,-6,21,40,217,1,6,83,True
The Scientist,Coldplay,permanent wave,2002,146,44,56,-7,11,21,310,73,2,83,True
Numb,Linkin Park,alternative metal,2003,110,86,50,-4,64,24,186,0,4,81,True
Fix You,Coldplay,permanent wave,2005,138,42,21,-9,11,12,296,16,3,81,True
Umbrella,Rihanna,barbadian pop,2008,174,83,58,-5,4,57,276,1,13,80,False
Stronger,Kanye West,chicago rap,2007,104,72,62,-8,41,49,312,1,15,80,True
The Real Slim Shady,Eminem,detroit hip hop,2000,105,66,95,-4,5,76,284,3,6,80,True
Low (feat. T-Pain),Flo Rida,dance pop,2008,128,61,92,-6,14,30,231,9,8,79,False
American Boy,Estelle,r&b,2008,118,73,73,-3,7,51,285,17,33,79,False
Yeah! (feat. Lil Jon & Ludacris),Usher,atl hip hop,2004,105,79,89,-5,4,58,250,2,11,79,False
Hall of Fame,The Script,celtic rock,2012,85,87,42,-4,12,63,203,7,6,78,False
Party In The U.S.A.,Miley Cyrus,dance pop,2009,96,70,65,-5,9,47,202,0,4,78,False
Candy Shop,50 Cent,east coast hip hop,2005,125,57,61,-8,38,76,209,3,47,78,False
Fireflies,Owl City,pop,2009,180,66,51,-7,12,46,228,3,4,78,False
Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77,False
So Sick,Ne-Yo,dance pop,2006,93,57,45,-8,19,58,207,25,31,77,False
Take A Bow,Rihanna,barbadian pop,2008,82,47,70,-8,9,57,229,25,7,77,False
Dilemma,Nelly,dance pop,2002,168,55,73,-8,20,61,289,23,14,77,False
I Gotta Feeling,The Black Eyed Peas,dance pop,2009,128,77,74,-6,51,61,289,9,3,77,False
Halo,Beyonc̩,dance pop,2008,80,72,51,-6,6,47,262,27,6,77,False
In Da Club,50 Cent,east coast hip hop,2003,90,71,90,-3,7,78,193,26,37,77,False
Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,77,False
Crank That (Soulja Boy),Soulja Boy,atl hip hop,2007,140,74,74,-2,5,80,222,52,8,76,False
Gasolina,Daddy Yankee,latin,2004,96,80,86,-6,8,75,193,33,6,76,False
Let Me Love You,Mario,dance pop,2004,95,58,66,-9,12,56,257,24,9,76,False
Don't Stop The Music,Rihanna,barbadian pop,2008,123,67,84,-6,5,54,267,3,6,76,False
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,detroit hip hop,2004,171,74,69,-5,34,6,322,1,26,76,False
I Knew You Were Trouble.,Taylor Swift,dance pop,2012,77,47,62,-7,3,68,220,0,4,75,False
Temperature,Sean Paul,dance pop,2005,125,60,95,-5,7,82,219,11,7,75,False
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2009,93,37,48,-8,12,14,216,74,3,75,False
Where Is The Love?,The Black Eyed Peas,dance pop,2003,94,69,84,-3,13,83,273,10,18,75,False
Replay,Iyaz,dance pop,2009,91,75,71,-6,17,20,182,17,7,74,False
Live Your Life (feat. Rihanna),T.I.,atl hip hop,2008,160,86,38,-3,21,48,339,7,26,74,False
Grenade,Bruno Mars,pop,2010,110,56,71,-7,12,23,223,15,6,74,False
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2012,126,82,65,-4,67,77,231,0,4,74,False
Womanizer,Britney Spears,dance pop,2009,139,70,72,-5,9,24,224,7,6,74,False
You Found Me,The Fray,modern rock,2009,152,80,34,-5,14,40,242,2,4,74,False
One Tow Step (feat. Missy Elliot),Ciara,dance pop,2004,113,51,94,-11,4,84,204,4,16,74,False
Smack That,Akon,dance pop,2006,119,74,94,-5,9,93,212,32,5,73,False
Alors on danse,Stromae,belgian pop,2010,120,59,79,-9,7,71,206,10,8,73,False
No Air (feat. Chris Brown),Jordin Sparks,dance pop,2007,160,76,47,-5,6,33,264,5,20,73,False
We Are Never Ever Getting Back Together,Taylor Swift,dance pop,2012,86,68,63,-6,12,75,193,1,9,73,False
Love Story,Taylor Swift,dance pop,2008,119,74,62,-4,8,31,236,13,3,73,False
Pon de Replay,Rihanna,barbadian pop,2005,99,64,78,-8,10,50,247,0,16,73,False
A Milli,Lil Wayne,hip hop,2008,151,70,67,-9,19,77,222,4,28,73,False
U Remind Me,Usher,atl hip hop,2001,94,63,66,-5,25,73,267,19,8,73,False
Right Round,Flo Rida,dance pop,2009,125,67,72,-7,23,71,205,1,6,72,False
Because Of You,Ne-Yo,dance pop,2007,110,54,81,-6,10,83,267,53,4,72,False
Call on Me - Radio Mix,Eric Prydz,big room,2004,126,84,60,-7,84,45,171,0,38,72,False
Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,72,False
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,bronx hip hop,2001,94,71,84,-5,11,92,267,2,6,72,False
Pump It,The Black Eyed Peas,dance pop,2005,154,93,65,-3,75,74,213,1,18,72,False
Break Your Heart,Taio Cruz,dance pop,2010,122,93,61,-4,9,57,202,3,3,71,False
Numb / Encore,JAY-Z,east coast hip hop,2004,107,80,69,-4,55,80,205,6,16,71,False
Hate That I Love You,Rihanna,barbadian pop,2008,94,73,64,-5,10,73,219,32,9,71,False
Lollipop,Lil Wayne,hip hop,2008,148,43,83,-9,14,45,299,6,8,71,False
Rockstar,Nickelback,alternative metal,2005,144,91,62,-3,34,69,252,5,4,71,False
I Wanna Love You,Akon,dance pop,2006,100,45,87,-9,31,35,247,4,4,70,False
Crush,David Archuleta,dance pop,2008,162,66,57,-5,7,49,214,1,3,70,False
Apologize,Timbaland,dance pop,2007,118,60,66,-6,10,8,184,4,3,70,False
7 Days,Craig David,british soul,2001,83,81,66,-7,10,89,235,23,5,70,False
Broken Strings,James Morrison,neo mellow,2008,112,72,57,-5,8,32,250,1,3,70,False
Bleeding Love,Leona Lewis,british soul,2007,104,65,64,-6,15,20,263,19,4,70,False
In My Head,Jason Derulo,dance pop,2010,110,75,76,-4,35,85,199,3,3,69,False
Ridin',Chamillionaire,dirty south rap,2005,143,80,79,-5,30,84,303,19,10,69,False
Hot N Cold,Katy Perry,dance pop,2008,132,84,71,-4,7,86,220,0,4,69,False
Breakeven,The Script,celtic rock,2008,94,70,63,-5,8,49,261,14,2,68,False
Snap Yo Fingers,Youngbloodz,atl hip hop,2006,82,76,84,-5,29,63,274,1,23,68,False
Boom Boom Pow,The Black Eyed Peas,dance pop,2009,130,86,87,-6,13,40,251,13,7,68,False
Lady - Hear Me Tonight,Modjo,disco house,2001,126,81,72,-6,6,87,307,1,4,68,False
Superstar,Jamelia,europop,2003,110,65,80,-7,4,82,215,5,4,67,False
Love Lockdown,Kanye West,chicago rap,2008,120,52,76,-8,11,11,270,5,3,67,False
The Tide Is High - Radio Mix,Atomic Kitten,bubblegum dance,2003,103,69,78,-3,3,64,205,2,3,66,False
Release Me,Agnes,dance pop,2009,128,92,62,-3,11,72,256,1,3,65,False
About You Now,Sugababes,bubblegum dance,2007,82,70,58,-6,49,59,212,0,4,65,False
Pjanoo - Radio Edit,Eric Prydz,big room,2008,126,87,60,-5,11,84,157,0,3,65,False
Let It Rock,Kevin Rudolf,dance pop,2008,113,78,61,-4,7,44,231,0,4,65,False
Everytime We Touch - Radio Edit,Cascada,bubblegum dance,2011,142,98,64,-5,37,49,199,0,6,64,False
Lean Back,Terror Squad,bronx hip hop,2004,127,92,80,-3,7,70,247,11,47,64,False
TiK ToK,Kesha,dance pop,2014,120,67,75,-7,28,63,200,6,12,63,False
All Rise,Blue,boy band,2001,98,74,72,-3,17,93,224,12,3,63,False
Fergalicious,Fergie,dance pop,2006,129,58,91,-8,13,83,292,6,32,63,False
Something,Lasgo,belgian dance,2001,140,98,64,-7,11,38,221,3,4,63,False
When Love Takes Over (feat. Kelly Rowland),David Guetta,dance pop,2009,130,86,66,-5,20,50,189,1,3,63,False
Anyone Of Us (Stupid Mistake),Gareth Gates,europop,2002,107,72,70,-6,8,65,228,28,3,61,False
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,dance pop,2006,100,42,62,-7,12,29,203,29,2,61,False
Thank God I Found You,Mariah Carey,dance pop,1999,130,53,47,-6,11,15,257,59,3,61,False
Sexy Bitch (feat. Akon) - Extended,David Guetta,dance pop,2009,130,30,96,-6,8,80,312,2,13,60,False
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,75,-5,69,65,213,15,6,60,False
Bump Bump Bump,B2K,boy band,2003,96,68,84,-6,5,89,283,10,21,60,False
Beautiful Girls,Sean Kingston,dance pop,2014,118,64,54,-7,24,75,242,14,9,60,False
I Know You Want Me (Calle Ocho),Pitbull,dance pop,2009,127,74,82,-6,24,80,237,1,14,60,False
Leave The World Behind - Radio Edit,Axwell,big room,2009,128,85,53,-8,32,28,162,0,5,58,False
